player,team,position,c/a,yds,td,int,car,yds,td,rec,yds,td,tar,2pc,fuml,td,fpts,avg
Tommy Hudson,Ten,TE,0/0,0,0,0,0,0,0,3,31,0,6,0,0,0,6.1,1.5
Gunner Olszewski,Pit,WR,0/0,0,0,0,1,9,0,2,31,0,3,0,0,0,6.0,0.4
Brandon Powell,LAR,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1.0
KJ Hill Jr.,FA,WR,0/0,0,0,0,0,0,0,3,30,0,3,0,0,0,6.0,1.0
Reggie Gilliam,Buf,RB,0/0,0,0,0,3,3,0,3,23,0,5,0,0,0,5.6,0.6
J.J. Arcega-Whiteside,Phi,TE,0/0,0,0,0,0,0,0,2,36,0,5,0,0,0,5.6,0.6
Kenny Yeboah,NYJ,TE,0/0,0,0,0,0,0,0,2,36,0,3,0,0,0,5.6,1.4
Gabe Nabers,LAC,RB,0/0,0,0,0,3,8,0,3,17,0,3,0,0,0,5.5,0.7
Trenton Irwin,Cin,WR,0/0,0,0,0,0,0,0,2,34,0,5,0,0,0,5.4,1.1
Dominique Dafney,GB,TE,0/0,0,0,0,0,0,0,2,34,0,4,0,0,0,5.4,0.9
Rodney Smith,FA,RB,0/0,0,0,0,5,9,0,3,14,0,4,0,0,0,5.3,1.8
Jonathan Ward,Ari,RB,0/0,0,0,0,13,51,0,0,0,0,1,0,0,0,5.1,5.1
C.J. Board,NYG,WR,0/0,0,0,0,3,5,0,3,16,0,3,0,0,0,5.1,0.9
Amari Rodgers,GB,WR,0/0,0,0,0,1,4,0,3,17,0,3,0,0,0,5.1,1.7
Parker Hesse,Atl,TE,0/0,0,0,0,0,0,0,2,29,0,2,0,0,0,4.9,1.2
Alex Armah,Wsh,RB,0/0,0,0,0,4,16,0,2,12,0,2,0,0,0,4.8,0.4
Johnny Stanton,Cle,RB,0/0,0,0,0,0,0,0,2,28,0,6,0,0,0,4.8,0.6
Deon Jackson,Ind,RB,0/0,0,0,0,0,0,0,1,38,0,5,0,0,0,4.8,1.2
JaQuan Hardy,Dal,RB,0/0,0,0,0,0,0,0,3,17,0,7,0,0,0,4.7,1.6
Wendell Smallwood,FA,RB,0/0,0,0,0,1,1,0,3,15,0,3,0,0,0,4.6,0.3
Jason Moore,LAC,WR,0/0,0,0,0,0,0,0,2,26,0,3,0,0,0,4.6,2.3
William Fuller V,FA,WR,0/0,0,0,0,0,0,0,3,16,0,5,0,0,0,4.6,0.9
Seth Williams,Den,WR,0/0,0,0,0,0,0,0,1,34,0,1,0,0,0,4.4,2.2
Marcus Kemp,FA,WR,0/0,0,0,0,0,0,0,2,24,0,5,0,0,0,4.4,0.3
Tylan Wallace,Bal,WR,0/0,0,0,0,0,0,0,2,23,0,6,0,0,0,4.3,0.4
Dazz Newsome,Chi,WR,0/0,0,0,0,0,0,0,2,23,0,5,0,0,0,4.3,1.4
Cam Akers,LAR,RB,0/0,0,0,0,5,3,0,3,10,0,3,0,0,0,4.3,4.3
Scottie Phillips,FA,RB,0/0,0,0,0,6,13,0,2,9,0,3,0,0,0,4.2,2.1
Demetrius Harris,FA,TE,0/0,0,0,0,0,0,0,3,10,0,6,0,0,0,4.0,0.4
Kylin Hill,GB,RB,0/0,0,0,0,10,24,0,1,5,0,2,0,0,0,3.9,0.5
Darrynton Evans,Chi,RB,0/0,0,0,0,2,7,0,2,11,0,2,0,0,0,3.8,3.8
David Sills V,NYG,WR,0/0,0,0,0,0,0,0,2,17,0,6,0,0,0,3.7,0.9
Tyron Johnson,LV,WR,0/0,0,0,0,0,0,0,2,16,0,5,0,0,0,3.6,0.4
Reggie Bonnafon,Wsh,RB,0/0,0,0,0,1,4,0,2,12,0,2,0,0,0,3.6,1.8
Cethan Carter,Mia,TE,0/0,0,0,0,0,0,0,2,16,0,2,0,0,0,3.6,0.4
Trey Ragas,FA,RB,0/0,0,0,0,1,9,0,2,6,0,2,0,0,0,3.5,3.5
Tyrell Williams,FA,WR,0/0,0,0,0,0,0,0,2,14,0,3,0,0,0,3.4,3.4
Stanley Morgan,Cin,WR,0/0,0,0,0,1,3,0,2,11,0,4,0,0,0,3.4,0.3
Derek Carrier,FA,TE,0/0,0,0,0,0,0,0,2,13,0,2,0,0,0,3.3,1.7
Chad Henne,KC,QB,11/16,82,0,0,8,0,0,0,0,0,0,0,0,0,3.28,0.8
Luke Stocker,FA,TE,0/0,0,0,0,0,0,0,2,12,0,2,0,0,0,3.2,0.5
La'Mical Perine,NYJ,RB,0/0,0,0,0,8,31,0,0,0,0,0,0,0,0,3.1,1.6
Richard Rodgers,Phi,TE,0/0,0,0,0,0,0,0,2,11,0,2,0,0,0,3.1,3.1
C.J. Saunders,Car,WR,0/0,0,0,0,0,0,0,2,11,0,2,0,0,0,3.1,3.1
Nick Bawden,NYJ,RB,0/0,0,0,0,0,0,0,1,20,0,1,0,0,0,3.0,0.6
Jaydon Mickens,FA,WR,0/0,0,0,0,0,0,0,2,10,0,3,0,0,0,3.0,0.3
Kevin Rader,Pit,TE,0/0,0,0,0,0,0,0,2,8,0,3,0,0,0,2.8,0.7
Ethan Wolf,NO,TE,0/0,0,0,0,0,0,0,2,8,0,2,0,0,0,2.8,1.4
Davion Davis,Hou,WR,0/0,0,0,0,0,0,0,1,17,0,3,0,0,0,2.7,1.4
Anthony McFarland Jr.,Pit,RB,0/0,0,0,0,3,3,0,1,11,0,1,0,0,0,2.4,1.2
Frank Darby,Atl,WR,0/0,0,0,0,0,0,0,1,14,0,4,0,0,0,2.4,0.5
Andy Isabella,Ari,WR,0/0,0,0,0,0,0,0,1,13,0,1,0,0,0,2.3,0.4
Kirk Merritt,NO,WR,0/0,0,0,0,0,0,0,1,13,0,3,0,0,0,2.3,1.2
Chris Streveler,Mia,QB,6/9,36,0,0,3,6,0,0,0,0,0,0,0,0,2.04,1.0
Ian Book,NO,QB,12/20,135,0,2,3,6,0,0,0,0,0,0,0,0,2.0,2.0
Raheem Mostert,Mia,RB,0/0,0,0,0,2,20,0,0,0,0,0,0,0,0,2.0,2.0
Gary Brightwell,NYG,RB,0/0,0,0,0,1,4,0,1,6,0,1,0,0,0,2.0,0.3
Tarik Black,NYJ,WR,0/0,0,0,0,0,0,0,1,10,0,2,0,0,0,2.0,2.0
Marvin Hall,FA,WR,0/0,0,0,0,0,0,0,1,10,0,1,0,0,0,2.0,2.0
Blaine Gabbert,TB,QB,7/11,67,0,0,9,-7,0,0,0,0,0,0,0,0,1.98,0.3
Jaylen Samuels,Ari,RB,0/0,0,0,0,0,0,0,1,9,0,1,0,0,0,1.9,0.6
Jason Huntley,Phi,RB,0/0,0,0,0,0,0,0,1,9,0,1,0,0,0,1.9,1.0
Adam Prentice,NO,RB,0/0,0,0,0,0,0,0,1,8,0,3,0,0,0,1.8,0.5
Patrick Laird,FA,RB,0/0,0,0,0,1,4,0,1,4,0,1,0,0,0,1.8,0.5
Daniel Brown,FA,TE,0/0,0,0,0,0,0,0,1,7,0,2,0,0,0,1.7,0.2
Dwayne Washington,NO,RB,0/0,0,0,0,0,0,0,1,7,0,2,0,0,0,1.7,0.9
Jake Kumerow,Buf,WR,0/0,0,0,0,0,0,0,1,6,0,1,0,0,0,1.6,0.4
Kevin White,NO,WR,2/2,33,0,0,1,2,0,0,0,0,0,0,0,0,1.52,0.8
Keith Kirkwood,FA,WR,0/0,0,0,0,0,0,0,1,5,0,1,0,0,0,1.5,0.8
Derek Watt,Pit,RB,0/0,0,0,0,0,0,0,1,5,0,1,0,0,0,1.5,0.5
Mike Strachan,Ind,WR,0/0,0,0,0,0,0,0,2,14,0,3,0,1,0,1.4,0.2
Mitchell Wilcox,Cin,TE,0/0,0,0,0,0,0,0,1,4,0,1,0,0,0,1.4,0.1
Seth Williams,Den,WR,0/0,0,0,0,1,-3,0,1,7,0,1,0,0,0,1.4,1.4
Marcus Kemp,FA,WR,0/0,0,0,0,2,13,0,0,0,0,0,0,0,0,1.3,0.7
Tylan Wallace,Bal,WR,0/0,0,0,0,2,12,0,0,0,0,0,0,0,0,1.2,1.2
Dazz Newsome,Chi,WR,0/0,0,0,0,0,0,0,1,2,0,2,0,0,0,1.2,0.3
Cam Akers,LAR,RB,0/0,0,0,0,5,11,0,0,0,0,1,0,0,0,1.1,0.2
Scottie Phillips,FA,RB,0/0,0,0,0,5,11,0,0,0,0,0,0,0,0,1.1,0.2
Demetrius Harris,FA,TE,0/0,0,0,0,3,6,0,2,4,0,2,0,1,0,1.0,0.1
Kylin Hill,GB,RB,0/0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1.0
Darrynton Evans,Chi,RB,0/0,0,0,0,0,0,0,1,0,0,4,0,0,0,1.0,0.1
David Sills V,NYG,WR,0/0,0,0,0,3,9,0,0,0,0,0,0,0,0,0.9,0.3
Tyron Johnson,LV,WR,0/0,0,0,0,0,0,0,1,-1,0,2,0,0,0,0.9,0.2
Reggie Bonnafon,Wsh,RB,0/0,0,0,0,0,0,0,2,8,0,6,0,1,0,0.8,0.1
Cethan Carter,Mia,TE,3/6,13,0,0,1,2,0,0,0,0,0,0,0,0,0.72,0.7
Trey Ragas,FA,RB,0/0,0,0,0,3,7,0,0,0,0,0,0,0,0,0.7,0.2
Tyrell Williams,FA,WR,0/0,0,0,0,1,6,0,0,0,0,0,0,0,0,0.6,0.6
Jake Funk,LAR,RB,0/0,0,0,0,2,5,0,0,0,0,0,0,0,0,0.5,0.1
Maurice Ffrench,LAC,WR,0/0,0,0,0,1,3,0,0,0,0,0,0,0,0,0.3,0.2
Nathan Cottrell,Jax,RB,0/0,0,0,0,1,3,0,0,0,0,0,0,0,0,0.3,0.1
Kellen Mond,Min,QB,2/3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
Nathan Peterman,Chi,QB,0/0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.2,0.2
J.K. Dobbins,Bal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michael Thomas,NO,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Travis Etienne Jr.,Jax,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deshaun Watson,Cle,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Irv Smith Jr.,Min,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gus Edwards,Bal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tutu Atwell,LAR,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kyle Trask,TB,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trace McSorley,Ari,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tarik Cohen,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Drew Brees,NO,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rico Dowdle,Dal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Julian Edelman,NE,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kenjon Barner,TB,RB,0/0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
Justice Hill,Bal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Antonio Williams,NYG,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jacob Harris,LAR,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Todd Gurley II,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Brycen Hopkins,LAR,TE,0/0,0,0,0,0,0,0,1,9,0,1,0,0,0,--,--
Johnny Mundt,Min,TE,0/0,0,0,0,0,0,0,1,9,0,1,0,0,0,--,--
Hunter Long,Mia,TE,0/0,0,0,0,0,0,0,1,8,0,3,0,0,0,--,--
Ryan Nall,Dal,RB,0/0,0,0,0,1,4,0,1,4,0,1,0,0,0,--,--
Eric Tomlinson,Den,TE,0/0,0,0,0,0,0,0,1,7,0,2,0,0,0,--,--
Tommylee Lewis,FA,WR,0/0,0,0,0,0,0,0,1,7,0,2,0,0,0,--,--
Miles Boykin,Pit,WR,0/0,0,0,0,0,0,0,1,6,0,1,0,0,0,0.0,0.0
C.J. Beathard,Jax,QB,2/2,33,0,0,1,2,0,0,0,0,0,0,0,0,--,--
Keke Coutee,Ind,WR,0/0,0,0,0,0,0,0,1,5,0,1,0,0,0,0.0,0.0
Easop Winston Jr.,NO,WR,0/0,0,0,0,0,0,0,1,5,0,1,0,0,0,--,--
Malik Taylor,GB,WR,0/0,0,0,0,0,0,0,2,14,0,3,0,1,0,0.0,0.0
Nick Bellore,Sea,RB,0/0,0,0,0,0,0,0,1,4,0,1,0,0,0,--,--
Devine Ozigbo,FA,RB,0/0,0,0,0,1,-3,0,1,7,0,1,0,0,0,--,--
John Kelly,Cle,RB,0/0,0,0,0,2,13,0,0,0,0,0,0,0,0,--,--
Jacques Patrick,FA,RB,0/0,0,0,0,2,12,0,0,0,0,0,0,0,0,--,--
Nick Boyle,Bal,TE,0/0,0,0,0,0,0,0,1,2,0,2,0,0,0,--,--
Mekhi Sargent,Jax,RB,0/0,0,0,0,5,11,0,0,0,0,1,0,0,0,0.0,0.0
Buddy Howell,FA,RB,0/0,0,0,0,5,11,0,0,0,0,0,0,0,0,0.0,0.0
Khari Blasingame,Chi,RB,0/0,0,0,0,3,6,0,2,4,0,2,0,1,0,0.0,0.0
Deon Yelder,Ari,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Darrell Daniels,FA,TE,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
Sam Ehlinger,Ind,QB,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Daniel Helm,Atl,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Racey McMath,Ten,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ryan Fitzpatrick,FA,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Damarea Crockett,Den,RB,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0
David Blough,Det,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jake Funk,LAR,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maurice Ffrench,LAC,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nathan Cottrell,Jax,RB,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
Kellen Mond,Min,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nathan Peterman,Chi,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
J.K. Dobbins,Bal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michael Thomas,NO,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Travis Etienne Jr.,Jax,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deshaun Watson,Cle,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Irv Smith Jr.,Min,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gus Edwards,Bal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tutu Atwell,LAR,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kyle Trask,TB,QB,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Trace McSorley,Ari,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tarik Cohen,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Drew Brees,NO,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rico Dowdle,Dal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Julian Edelman,NE,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kenjon Barner,TB,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Justice Hill,Bal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Antonio Williams,NYG,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jacob Harris,LAR,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Todd Gurley II,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lynn Bowden Jr.,Mia,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Simi Fehoko,Dal,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Larry Fitzgerald,FA,WR,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0
Thaddeus Moss,Cin,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kyle Shurmur,FA,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bisi Johnson,Min,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Brett Rypien,Den,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cornell Powell,KC,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Codey McElroy,TB,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Xavier Jones,LAR,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Marquez Stevenson,Buf,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Philip Rivers,FA,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chad Hansen,Atl,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deon Cain,Phi,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
KeeSean Johnson,SF,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jordan Veasy,FA,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Dalton Keene,NE,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vance McDonald,Pit,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Matt Schaub,Atl,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Paul Quessenberry,Hou,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nate Sudfeld,SF,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Devlin Hodges,LAR,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Marcus Baugh,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Anthony Gordon,KC,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
David Wells,Ari,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jordan Matthews,SF,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Joshua Dobbs,Cle,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dan Chisena,Min,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Darius Anderson,Hou,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Taiwan Jones,Buf,RB,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DeMichael Harris,Ind,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jeff Badet,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ben Mason,Bal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jake Bargas,Min,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Javon Leake,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kawaan Baker,NO,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Myron Mitchell,Min,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jordan Reed,SF,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nate Stanley,Min,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ryan Finley,Hou,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nick Bowers,LV,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Levine Toilolo,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Miller Forristall,Cle,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alex Smith,Wsh,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tony Poljan,Bal,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Zach Davidson,Min,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Reid Sinnett,Phi,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sammis Reyes,Wsh,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tyrone Swoopes,Wsh,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alex Ellis,Ari,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trey Edmunds,Pit,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dez Bryant,FA,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Giovanni Ricci,Car,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chandler Cox,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Robert Foster,NYG,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Easton Stick,LAC,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Farrod Green,FA,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Austin Mack,SF,WR,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
Raymond Calais,LAR,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Frank Gore,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nick Ralston,Dal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Elijah Holyfield,Cin,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cody Core,Mia,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deon Cain,Phi,WR,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
KeeSean Johnson,SF,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jordan Veasy,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dalton Keene,NE,TE,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
Vance McDonald,Pit,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Matt Schaub,Atl,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Paul Quessenberry,Hou,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Josh Hill,Det,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Noah Togiai,Phi,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Hunter Kampmoyer,LAC,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alize Mack,GB,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Caleb Wilson,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kevin Hogan,Hou,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Danny Etling,GB,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ian Bunting,Dal,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Terry Godwin,Jax,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Darrius Shepherd,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Daurice Fountain,KC,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jazz Ferguson,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jonathan Hilliman,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Austin Proehl,NYG,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chris Thompson,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Fred Brown,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
John Lovett,Mia,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Karan Higdon,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trishton Jackson,Min,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Josh Johnson,Sea,RB,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Darius Bradwell,Car,RB,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
